[2020-05-06 16:45:15]toilet_output.py(45): > Start setup...
[2020-05-06 16:45:15]toilet_output.py(56): > Finish setup...
[2020-05-06 16:45:15]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:45:16]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:45:17]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:45:18]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:45:19]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:45:20]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:45:21]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:45:22]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:45:23]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:45:25]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:45:26]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:45:27]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:45:28]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:45:29]toilet_output.py(99): > use_toilet_length: 0
[2020-05-06 16:45:30]toilet_output.py(99): > use_toilet_length: 0
